,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PaC,PaC%,PC,%PC,Temporada,Equipo,TL,TE,GCpropios,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,PInt.,% Cmp,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90
91,Yoel,es ESP,PO,29,3,3,270,3.0,6,2.00,11,6,54.5,0,0.0,0,0.0,2018-2019,Valladolid,1,0,0,4.9,0.36,-1.1,-0.37,28,76,36.8,24,1,4.2,3,1.00
92,Yassine Bounou,ma MAR,PO,27,32,32,"2,862",31.8,43,1.35,162,126,77.2,8,25.0,0,0.0,2018-2019,Girona,2,6,1,46.3,0.26,+4.3,+0.13,190,496,38.3,320,23,7.2,13,0.41
93,Gorka Iraizoz,es ESP,PO,37,7,6,558,6.2,10,1.61,36,29,77.8,1,16.7,0,0.0,2018-2019,Girona,0,1,1,14.2,0.36,+5.2,+0.83,51,126,40.5,75,7,9.3,2,0.32
94,Stole Dimitrievski,mk MKD,PO,24,21,21,"1,890",21.0,35,1.67,91,62,68.1,3,14.3,1,14.3,2018-2019,Rayo Vallecano,0,6,0,32.6,0.29,-2.4,-0.12,172,370,46.5,231,18,7.8,7,0.33
95,Alberto García,es ESP,PO,33,17,17,"1,530",17.0,35,2.06,83,51,59.0,4,23.5,3,75.0,2018-2019,Rayo Vallecano,0,5,2,29.6,0.32,-3.4,-0.20,137,279,49.1,187,11,5.9,9,0.53
96,Roberto Santamaría,es ESP,PO,33,20,20,"1,800",20.0,30,1.50,89,64,73.0,6,30.0,0,0.0,2018-2019,Huesca,1,0,1,32.5,0.32,+3.5,+0.17,215,493,43.6,200,13,6.5,8,0.40
97,Aleksandar Jovanović,rs SRB,PO,25,12,12,"1,080",12.0,19,1.58,43,27,60.5,0,0.0,0,0.0,2018-2019,Huesca,1,1,1,15.8,0.33,-2.2,-0.19,79,248,31.9,91,5,5.5,5,0.42
98,Axel Werner,ar ARG,PO,22,6,6,540,6.0,16,2.67,35,21,57.1,0,0.0,0,0.0,2018-2019,Huesca,0,1,1,10.1,0.26,-4.9,-0.82,41,121,33.9,57,1,1.8,0,0.00
99,Jan Oblak,si SVN,PO,26,38,38,"3,395",37.7,27,0.72,105,82,77.1,17,44.7,0,0.0,2019-2020,Atlético Madrid,1,4,3,25.2,0.22,+1.2,+0.03,262,656,39.9,347,19,5.5,17,0.45
100,Antonio Adán,es ESP,PO,32,1,0,25,0.3,0,0.00,1,1,100.0,0,,0,,2019-2020,Atlético Madrid,0,0,0,0.0,0.01,0.0,+0.04,1,3,33.3,2,0,0.0,1,3.60
101,Thibaut Courtois,be BEL,PO,27,34,34,"3,060",34.0,20,0.59,95,74,78.9,18,52.9,0,,2019-2020,Real Madrid,0,4,0,22.8,0.24,+2.8,+0.08,90,311,28.9,285,25,8.8,22,0.65
102,Alphonse Areola,fr FRA,PO,26,4,4,360,4.0,5,1.25,13,10,76.9,1,25.0,0,0.0,2019-2020,Real Madrid,0,1,0,4.8,0.27,-0.2,-0.06,16,36,44.4,39,1,2.6,5,1.25
103,Marc-André ter Stegen,de GER,PO,27,36,36,"3,240",36.0,36,1.00,110,78,72.7,14,38.9,1,14.3,2019-2020,Barcelona,2,1,0,34.8,0.27,-1.2,-0.03,205,338,60.7,266,13,4.9,27,0.75
104,Neto,br BRA,PO,30,2,2,180,2.0,2,1.00,3,1,33.3,1,50.0,0,,2019-2020,Barcelona,0,0,0,1.5,0.50,-0.5,-0.25,4,10,40.0,13,0,0.0,1,0.50
105,Tomáš Vaclík,cz CZE,PO,30,33,33,"2,925",32.5,31,0.95,96,68,69.8,14,42.4,1,33.3,2019-2020,Sevilla,3,3,1,25.5,0.25,-4.5,-0.14,178,417,42.7,260,20,7.7,16,0.49
106,Yassine Bounou,ma MAR,PO,28,6,5,495,5.5,3,0.55,19,17,89.5,4,80.0,0,0.0,2019-2020,Sevilla,0,0,0,3.8,0.16,+0.8,+0.15,42,84,50.0,40,3,7.5,2,0.36
107,Álex Remiro,es ESP,PO,24,25,25,"2,250",25.0,32,1.28,87,62,71.3,6,24.0,1,12.5,2019-2020,Real Sociedad,2,3,0,28.4,0.25,-3.6,-0.14,171,388,44.1,189,11,5.8,22,0.88
108,Miguel Ángel Moyá,es ESP,PO,35,13,13,"1,170",13.0,16,1.23,51,36,68.6,3,23.1,0,,2019-2020,Real Sociedad,0,1,1,13.1,0.26,-1.9,-0.15,100,188,53.2,102,13,12.7,12,0.92
109,Joel Robles,es ESP,PO,29,33,33,"2,887",32.1,48,1.50,118,80,68.6,5,15.2,0,0.0,2019-2020,Real Betis,1,3,1,44.8,0.31,-2.2,-0.07,171,464,36.9,296,21,7.1,27,0.84
110,Daniel Martín,es ESP,PO,21,6,5,531,5.9,12,2.03,26,14,53.8,1,20.0,0,,2019-2020,Real Betis,0,1,0,7.8,0.30,-4.2,-0.72,37,76,48.7,58,3,5.2,2,0.34
111,Sergio Asenjo,es ESP,PO,30,34,34,"3,060",34.0,41,1.21,142,107,74.6,11,32.4,1,16.7,2019-2020,Villarreal,0,8,1,39.5,0.24,-0.5,-0.01,166,451,36.8,354,20,5.6,18,0.53
112,Andrés Fernández,es ESP,PO,32,4,4,360,4.0,8,2.00,17,13,70.6,1,25.0,0,0.0,2019-2020,Villarreal,0,2,1,6.8,0.26,-0.2,-0.04,23,55,41.8,46,2,4.3,1,0.25
113,Rubén Blanco,es ESP,PO,24,33,33,"2,960",32.9,43,1.31,126,87,69.8,10,30.3,0,0.0,2019-2020,Celta Vigo,3,3,0,40.7,0.29,-2.3,-0.07,213,573,37.2,335,21,6.3,10,0.30
114,Iván Villar,es ESP,PO,22,4,3,280,3.1,5,1.61,11,6,54.5,1,33.3,0,,2019-2020,Celta Vigo,0,0,0,4.7,0.42,-0.3,-0.11,15,43,34.9,34,3,8.8,3,0.96
115,Sergio Álvarez,es ESP,PO,32,4,4,180,2.0,1,0.50,4,3,75.0,2,50.0,0,,2019-2020,Celta Vigo,0,0,0,1.1,0.28,+0.1,+0.06,8,22,36.4,24,2,8.3,0,0.00
116,Unai Simón,es ESP,PO,22,34,34,"2,991",33.2,29,0.87,103,78,76.7,12,35.3,0,0.0,2019-2020,Athletic Club,1,3,2,36.8,0.32,+9.8,+0.29,319,761,41.9,343,23,6.7,18,0.54
117,Iago Herrerín,es ESP,PO,31,5,4,425,4.7,9,1.91,18,9,50.0,0,0.0,0,,2019-2020,Athletic Club,1,1,0,6.3,0.36,-2.7,-0.57,44,110,40.0,41,6,14.6,0,0.00
118,Jasper Cillessen,nl NED,PO,30,24,24,"2,096",23.3,30,1.29,102,78,76.5,5,20.8,2,25.0,2019-2020,Valencia,2,3,1,28.0,0.22,-1.0,-0.04,140,413,33.9,264,21,8.0,12,0.52
119,Jaume Doménech,es ESP,PO,28,15,14,"1,324",14.7,23,1.56,80,58,72.5,3,21.4,0,0.0,2019-2020,Valencia,1,4,0,22.7,0.28,-0.3,-0.02,106,255,41.6,178,7,3.9,6,0.41
120,Aitor Fernández,es ESP,PO,28,36,36,"3,240",36.0,51,1.42,201,152,76.1,5,13.9,3,50.0,2019-2020,Levante,1,8,2,57.2,0.27,+8.2,+0.23,204,553,36.9,382,25,6.5,29,0.81
121,Koke Vegas,es ESP,PO,23,2,2,180,2.0,2,1.00,10,8,80.0,1,50.0,0,,2019-2020,Levante,0,1,0,1.7,0.17,-0.3,-0.13,7,26,26.9,30,2,6.7,2,1.00
122,David Soria,es ESP,PO,26,38,38,"3,420",38.0,37,0.97,102,70,68.6,15,39.5,1,16.7,2019-2020,Getafe,0,2,1,38.1,0.33,+2.1,+0.05,369,987,37.4,262,30,11.5,49,1.29
123,Fernando Pacheco,es ESP,PO,27,27,27,"2,358",26.2,37,1.41,92,61,68.5,6,22.2,3,27.3,2019-2020,Alavés,3,2,0,33.7,0.30,-3.3,-0.13,290,616,47.1,254,17,6.7,12,0.46
124,Roberto,es ESP,PO,33,9,8,790,8.8,19,2.16,51,35,68.6,2,25.0,0,0.0,2019-2020,Alavés,0,1,0,20.9,0.36,+1.9,+0.21,87,201,43.3,75,4,5.3,6,0.68
125,Antonio Sivera,es ESP,PO,22,3,3,270,3.0,3,1.00,4,2,50.0,1,33.3,0,0.0,2019-2020,Alavés,0,0,0,2.4,0.36,-0.6,-0.19,24,64,37.5,27,1,3.7,0,0.00
126,Marko Dmitrović,rs SRB,PO,27,35,35,"3,150",35.0,51,1.46,113,67,58.4,10,28.6,1,20.0,2019-2020,Eibar,2,3,1,44.1,0.36,-5.9,-0.17,273,842,32.4,274,20,7.3,48,1.37
127,Yoel,es ESP,PO,30,4,4,270,3.0,5,1.67,14,9,64.3,1,25.0,1,100.0,2019-2020,Eibar,0,0,0,3.8,0.21,-1.2,-0.39,38,80,47.5,29,1,3.4,3,1.00
128,Jordi Masip,es ESP,PO,30,35,35,"3,150",35.0,39,1.11,121,88,72.7,11,31.4,1,14.3,2019-2020,Valladolid,2,3,0,45.2,0.33,+6.2,+0.18,246,750,32.8,369,17,4.6,11,0.31
129,Churripi,es ESP,PO,25,3,3,244,2.7,3,1.11,13,10,76.9,1,33.3,0,,2019-2020,Valladolid,0,2,0,3.1,0.24,+0.1,+0.04,18,80,22.5,25,3,12.0,3,1.11
130,Samu Pérez,es ESP,PO,22,1,0,26,0.3,1,3.46,0,0,,0,,0,0.0,2019-2020,Valladolid,0,0,0,0.9,,-0.1,-0.22,2,7,28.6,1,0,0.0,0,0.00
131,Sergio Herrera,es ESP,PO,26,19,18,"1,655",18.4,27,1.47,79,52,67.1,7,38.9,0,0.0,2019-2020,Osasuna,2,4,0,27.6,0.34,+0.6,+0.03,175,482,36.3,156,16,10.3,21,1.14
132,Rubén,es ESP,PO,35,19,18,"1,583",17.6,24,1.36,51,29,58.8,5,27.8,0,0.0,2019-2020,Osasuna,1,1,0,19.3,0.34,-4.7,-0.27,150,404,37.1,167,12,7.2,7,0.40
133,Juan Pérez,es ESP,PO,23,2,2,180,2.0,3,1.50,8,6,75.0,0,0.0,0,0.0,2019-2020,Osasuna,0,0,0,2.6,0.23,-0.4,-0.21,20,48,41.7,18,0,0.0,1,0.50
134,Rui Silva,pt POR,PO,25,35,35,"3,150",35.0,42,1.20,136,97,72.1,12,34.3,1,20.0,2019-2020,Granada,1,5,0,42.3,0.28,+0.3,+0.01,348,898,38.8,332,38,11.4,41,1.17
135,Aarón Escandell,es ESP,PO,23,3,3,270,3.0,3,1.00,13,10,76.9,1,33.3,0,,2019-2020,Granada,0,0,0,2.6,0.20,-0.4,-0.14,30,81,37.0,30,2,6.7,3,1.00
136,Manolo Reina,es ESP,PO,34,36,36,"3,240",36.0,60,1.67,164,117,71.3,5,13.9,1,7.1,2019-2020,Mallorca,2,7,1,58.1,0.28,-0.9,-0.02,255,689,37.0,362,36,9.9,24,0.67
137,Fabricio,es ESP,PO,31,2,2,90,1.0,3,3.00,5,3,80.0,0,0.0,0,0.0,2019-2020,Mallorca,0,1,0,1.7,0.15,-1.3,-1.31,8,17,47.1,5,0,0.0,1,1.00
138,Miquel Parera,es ESP,PO,23,1,1,90,1.0,2,2.00,5,3,60.0,0,0.0,0,,2019-2020,Mallorca,0,0,0,1.6,0.31,-0.4,-0.45,3,14,21.4,6,1,16.7,0,0.00
139,Iván Cuéllar,es ESP,PO,35,27,27,"2,429",27.0,33,1.22,99,67,67.7,8,29.6,1,50.0,2019-2020,Leganés,1,8,0,29.6,0.29,-3.4,-0.13,230,623,36.9,272,32,11.8,34,1.26
140,Juan Soriano,es ESP,PO,21,11,11,990,11.0,18,1.64,34,22,61.8,1,9.1,0,0.0,2019-2020,Leganés,1,0,1,15.6,0.33,-1.4,-0.12,49,175,28.0,70,7,10.0,7,0.64
141,Diego López,es ESP,PO,37,36,36,"3,232",35.9,58,1.62,153,101,66.0,4,11.1,1,14.3,2019-2020,Espanyol,0,6,2,50.4,0.30,-5.6,-0.16,225,691,32.6,302,26,8.6,31,0.86
142,Oier Olazábal,es ESP,PO,29,2,2,180,2.0,0,0.00,4,4,100.0,2,100.0,0,,2019-2020,Espanyol,0,0,0,0.4,0.10,+0.4,+0.20,9,20,45.0,13,1,7.7,0,0.00
143,Jan Oblak,si SVN,PO,27,38,38,"3,420",38.0,25,0.66,120,97,80.0,18,47.4,2,66.7,2020-2021,Atlético Madrid,0,6,3,31.8,0.25,+9.8,+0.26,269,620,43.4,327,19,5.8,18,0.47
144,Thibaut Courtois,be BEL,PO,28,38,38,"3,420",38.0,28,0.74,111,90,81.1,17,44.7,2,22.2,2020-2021,Real Madrid,0,3,1,29.8,0.22,+2.8,+0.07,136,351,38.7,286,27,9.4,24,0.63
145,Marc-André ter Stegen,de GER,PO,28,31,31,"2,790",31.0,32,1.03,102,75,71.6,11,35.5,0,0.0,2020-2021,Barcelona,1,4,2,29.0,0.27,-1.0,-0.03,138,241,57.3,174,19,10.9,22,0.71
146,Neto,br BRA,PO,31,7,7,630,7.0,6,0.86,21,16,81.0,3,42.9,0,0.0,2020-2021,Barcelona,0,1,0,6.7,0.24,+0.7,+0.10,22,47,46.8,64,4,6.3,4,0.57
147,Yassine Bounou,ma MAR,PO,29,33,33,"2,970",33.0,28,0.85,100,78,76.0,15,45.5,2,33.3,2020-2021,Sevilla,0,4,2,25.8,0.22,-0.2,-0.01,199,419,47.5,284,32,11.3,23,0.70
148,Tomáš Vaclík,cz CZE,PO,31,5,5,450,5.0,5,1.00,14,9,64.3,2,40.0,0,,2020-2021,Sevilla,0,0,0,3.5,0.26,-1.5,-0.29,20,41,48.8,40,2,5.0,3,0.60
149,Álex Remiro,es ESP,PO,25,38,38,"3,420",38.0,38,1.00,100,66,65.0,14,36.8,1,25.0,2020-2021,Real Sociedad,0,5,1,32.4,0.30,-4.6,-0.12,232,561,41.4,291,17,5.8,26,0.68
150,Claudio Bravo,cl CHI,PO,37,20,20,"1,800",20.0,25,1.25,69,48,69.6,7,35.0,1,20.0,2020-2021,Real Betis,0,2,1,27.1,0.34,+3.1,+0.16,139,358,38.8,186,10,5.4,8,0.40
151,Joel Robles,es ESP,PO,30,18,18,"1,620",18.0,25,1.39,56,37,62.5,6,33.3,1,20.0,2020-2021,Real Betis,1,5,2,21.5,0.31,-1.5,-0.08,99,301,32.9,145,10,6.9,14,0.78
152,Sergio Asenjo,es ESP,PO,31,36,36,"3,240",36.0,41,1.14,114,83,70.2,10,27.8,1,12.5,2020-2021,Villarreal,0,4,2,34.8,0.25,-3.2,-0.09,210,462,45.5,427,42,9.8,21,0.58
153,Gerónimo Rulli,ar ARG,PO,28,2,2,180,2.0,4,2.00,8,4,50.0,0,0.0,0,,2020-2021,Villarreal,0,0,0,2.8,0.35,-1.2,-0.62,15,32,46.9,23,0,0.0,0,0.00
154,Iván Villar,es ESP,PO,23,21,19,"1,781",19.8,30,1.52,72,47,66.7,5,26.3,1,14.3,2020-2021,Celta Vigo,1,2,1,28.1,0.32,-0.9,-0.04,105,370,28.4,211,18,8.5,15,0.76
155,Rubén Blanco,es ESP,PO,25,19,19,"1,637",18.2,27,1.48,60,34,56.7,4,21.1,0,0.0,2020-2021,Celta Vigo,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,149,9,6.0,12,0.66
156,Unai Simón,es ESP,PO,23,37,37,"3,330",37.0,40,1.08,104,70,66.3,9,24.3,1,16.7,2020-2021,Athletic Club,1,8,1,35.6,0.29,-3.4,-0.09,241,538,44.8,367,22,6.0,23,0.62
157,Jokin Ezkieta,es ESP,PO,23,1,1,90,1.0,2,2.00,3,1,33.3,0,0.0,0,,2020-2021,Athletic Club,0,0,0,1.1,0.36,-0.9,-0.92,1,4,25.0,10,0,0.0,1,1.00
158,Jaume Doménech,es ESP,PO,29,28,28,"2,520",28.0,42,1.50,124,86,69.4,4,14.3,2,33.3,2020-2021,Valencia,2,7,2,39.2,0.28,-0.8,-0.03,264,525,50.3,325,21,6.5,15,0.54
159,Jasper Cillessen,nl NED,PO,31,10,10,900,10.0,11,1.10,45,33,77.8,3,30.0,1,50.0,2020-2021,Valencia,1,0,0,12.1,0.23,+1.1,+0.11,71,198,35.9,123,8,6.5,8,0.80
160,Aitor Fernández,es ESP,PO,29,29,29,"2,610",29.0,44,1.52,118,78,65.3,3,10.3,0,0.0,2020-2021,Levante,1,6,2,38.8,0.31,-3.2,-0.11,124,330,37.6,255,18,7.1,27,0.93
161,Cárdenas,es ESP,PO,23,8,8,720,8.0,11,1.37,41,26,73.2,1,12.5,0,,2020-2021,Levante,0,0,0,11.4,0.28,+0.4,+0.05,45,104,43.3,88,5,5.7,9,1.13
162,Koke Vegas,es ESP,PO,24,1,1,90,1.0,2,2.00,4,2,50.0,0,0.0,0,,2020-2021,Levante,0,0,0,2.6,0.64,+0.6,+0.56,2,11,18.2,7,0,0.0,1,1.00
163,David Soria,es ESP,PO,27,28,28,"2,520",28.0,31,1.11,75,52,66.7,10,35.7,1,14.3,2020-2021,Getafe,0,4,3,29.5,0.32,+1.5,+0.06,299,749,39.9,208,20,9.6,42,1.50
164,Rubén Yáñez,es ESP,PO,26,10,10,900,10.0,12,1.20,30,19,63.3,4,40.0,0,0.0,2020-2021,Getafe,0,0,0,11.6,0.35,-0.4,-0.04,89,203,43.8,72,5,6.9,7,0.70
165,Fernando Pacheco,es ESP,PO,28,38,37,"3,349",37.2,57,1.53,142,86,62.0,9,24.3,0,0.0,2020-2021,Alavés,0,6,0,54.9,0.38,-2.1,-0.06,329,642,51.2,330,31,9.4,23,0.62
166,Antonio Sivera,es ESP,PO,23,1,1,71,0.8,0,0.00,1,1,100.0,0,0.0,0,,2020-2021,Alavés,0,0,0,0.0,0.01,0.0,+0.02,4,16,25.0,7,1,14.3,0,0.00
167,Marko Dmitrović,rs SRB,PO,28,35,35,"3,120",34.7,49,1.41,128,80,64.1,9,25.7,1,25.0,2020-2021,Eibar,0,5,0,46.9,0.34,-2.1,-0.06,305,786,38.8,253,20,7.9,41,1.18
168,Yoel,es ESP,PO,31,4,3,300,3.3,3,0.90,5,2,40.0,0,0.0,0,,2020-2021,Eibar,0,0,0,2.2,0.44,-0.8,-0.24,39,74,52.7,11,1,9.1,8,2.40
169,Jeremías Ledesma,ar ARG,PO,27,32,32,"2,880",32.0,45,1.41,118,79,68.6,9,28.1,1,11.1,2020-2021,Cádiz,2,4,1,38.8,0.27,-5.2,-0.16,341,860,39.7,333,33,9.9,14,0.44
170,David Gil,es ESP,PO,26,4,4,360,4.0,10,2.50,15,6,40.0,0,0.0,0,0.0,2020-2021,Cádiz,0,1,0,6.4,0.37,-3.6,-0.90,32,110,29.1,47,3,6.4,1,0.25
171,Alberto Cifuentes,es ESP,PO,41,2,2,180,2.0,3,1.50,6,3,50.0,1,50.0,0,,2020-2021,Cádiz,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,17,1,5.9,2,1.00
172,Édgar Badía,es ESP,PO,28,30,30,"2,700",30.0,46,1.53,135,93,69.6,5,16.7,3,37.5,2020-2021,Elche,0,5,0,45.6,0.30,-0.4,-0.01,262,518,50.6,302,23,7.6,20,0.67
173,Paulo Gazzaniga,ar ARG,PO,28,8,8,720,8.0,9,1.13,21,14,61.9,2,25.0,0,0.0,2020-2021,Elche,0,3,1,7.5,0.32,-0.5,-0.06,61,161,37.9,59,5,8.5,1,0.13
174,Álvaro Fernández,es ESP,PO,22,22,22,"1,980",22.0,32,1.45,92,62,67.4,5,22.7,0,0.0,2020-2021,Huesca,0,7,1,30.0,0.31,-1.0,-0.05,136,329,41.3,188,11,5.9,15,0.68
175,Andrés Fernández,es ESP,PO,33,16,16,"1,440",16.0,21,1.31,50,32,64.0,4,25.0,0,0.0,2020-2021,Huesca,1,3,1,16.9,0.29,-3.1,-0.19,91,260,35.0,167,13,7.8,7,0.44
176,Jordi Masip,es ESP,PO,31,25,25,"2,250",25.0,40,1.60,112,74,67.9,2,8.0,0,0.0,2020-2021,Valladolid,1,3,0,40.1,0.32,+0.1,0.00,177,555,31.9,263,14,5.3,13,0.52
177,Roberto,es ESP,PO,34,13,13,"1,170",13.0,17,1.31,43,28,65.1,1,7.7,0,0.0,2020-2021,Valladolid,0,2,0,15.6,0.33,-1.4,-0.11,90,296,30.4,129,10,7.8,7,0.54
178,Sergio Herrera,es ESP,PO,27,33,32,"2,958",32.9,40,1.22,122,88,70.5,10,31.3,3,42.9,2020-2021,Osasuna,0,5,3,43.2,0.32,+6.2,+0.19,431,927,46.5,375,34,9.1,51,1.55
179,Juan Pérez,es ESP,PO,24,3,3,270,3.0,3,1.00,7,4,71.4,1,33.3,0,0.0,2020-2021,Osasuna,0,0,0,2.6,0.25,-0.4,-0.12,23,60,38.3,35,0,0.0,1,0.33
180,Rubén,es ESP,"PO,CC",36,3,3,187,2.1,5,2.41,9,3,44.4,0,0.0,0,,2020-2021,Osasuna,0,0,0,4.9,0.55,-0.1,-0.04,33,54,61.1,19,1,5.3,3,1.44
181,Rui Silva,pt POR,PO,26,32,32,"2,880",32.0,55,1.72,129,78,61.2,8,25.0,4,44.4,2020-2021,Granada,2,3,1,50.8,0.35,-3.2,-0.10,282,753,37.5,311,13,4.2,29,0.91
182,Aarón Escandell,es ESP,PO,24,5,5,450,5.0,8,1.60,24,16,66.7,1,20.0,0,,2020-2021,Granada,0,0,0,9.6,0.42,+1.6,+0.33,38,113,33.6,45,3,6.7,12,2.40
183,Ángel,es ESP,PO,18,1,1,90,1.0,2,2.00,7,6,85.7,0,0.0,1,50.0,2020-2021,Granada,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,10,0,0.0,1,1.00
